iter	Passed	Remaining
0	33	33927
1	38	19054
2	42	14115
3	46	11655
4	49	9938
5	52	8776
6	55	7940
7	59	7317
8	62	6877
9	65	6499
10	68	6171
11	71	5907
12	74	5682
13	78	5498
14	81	5325
15	84	5174
16	87	5043
17	90	4920
18	93	4825
19	96	4728
20	99	4639
21	102	4560
22	105	4486
23	108	4426
24	112	4369
25	115	4311
26	118	4256
27	121	4204
28	124	4164
29	127	4126
30	130	4089
31	133	4052
32	137	4015
33	140	3982
34	143	3954
35	146	3926
36	149	3896
37	152	3862
38	155	3838
39	158	3814
40	161	3788
41	164	3762
42	168	3743
43	171	3721
44	174	3704
45	177	3684
46	180	3662
47	183	3643
48	186	3622
49	189	3609
50	193	3591
51	196	3576
52	199	3561
53	202	3548
54	205	3536
55	209	3523
56	211	3507
57	215	3494
58	218	3480
59	221	3465
60	224	3456
61	227	3444
62	230	3431
63	233	3417
64	236	3407
65	240	3398
66	243	3387
67	246	3374
68	249	3363
69	252	3354
70	255	3347
71	258	3337
72	262	3327
73	265	3316
74	268	3306
75	271	3301
76	274	3291
77	277	3283
78	281	3276
79	284	3268
80	287	3263
81	290	3255
82	294	3248
83	297	3240
84	300	3230
85	303	3226
86	306	3219
87	309	3211
88	312	3203
89	315	3194
90	319	3187
91	322	3180
92	325	3173
93	328	3166
94	331	3158
95	335	3154
96	338	3147
97	341	3140
98	344	3133
99	347	3127
100	350	3121
101	353	3114
102	356	3108
103	359	3101
104	363	3094
105	366	3090
106	369	3083
107	372	3077
108	375	3071
109	378	3064
110	382	3059
111	385	3056
112	388	3051
113	391	3045
114	395	3040
115	398	3036
116	401	3031
117	404	3026
118	408	3021
119	411	3017
120	414	3014
121	418	3009
122	421	3003
123	424	2997
124	427	2992
125	430	2987
126	433	2983
127	437	2977
128	440	2972
129	443	2967
130	447	2965
131	450	2962
132	454	2960
133	457	2953
134	460	2950
135	463	2945
136	466	2941
137	470	2937
138	473	2934
139	476	2929
140	480	2925
141	483	2921
142	486	2917
143	490	2913
144	493	2909
145	496	2904
146	499	2901
147	503	2897
148	506	2892
149	509	2888
150	512	2883
151	516	2879
152	519	2874
153	522	2870
154	525	2866
155	529	2863
156	532	2859
157	535	2856
158	539	2852
159	542	2848
160	546	2845
161	549	2841
162	552	2837
163	555	2833
164	559	2829
165	562	2825
166	565	2821
167	569	2818
168	572	2814
169	575	2809
170	579	2807
